team,off_eff,def_eff,tempo,off_eff_home,def_eff_home,off_eff_away,def_eff_away
Southern,102.865,111.134,0.291281,102.865,111.134,102.865,111.134
Southern Miss,102.44,109.939,0.307353,102.44,109.939,102.44,109.939
California,112.324,100.354,0.785139,112.324,100.354,112.324,100.354
Georgia St.,99.7212,108.017,0.285178,99.7212,108.017,99.7212,108.017
Miami FL,117.847,100.719,0.858888,117.847,100.719,117.847,100.719
Georgia,121.622,102.091,0.882168,121.622,102.091,121.622,102.091
North Dakota,106.829,115.9,0.281461,106.829,115.9,106.829,115.9
Princeton,103.948,108.384,0.382119,103.948,108.384,103.948,108.384
Saint Louis,122.429,98.4726,0.92443,122.429,98.4726,122.429,98.4726
Arizona St.,118.081,107.706,0.74223,118.081,107.706,118.081,107.706
Purdue Fort Wayne,106.137,111.658,0.358202,106.137,111.658,106.137,111.658
Iona,102.525,107.753,0.360775,102.525,107.753,102.525,107.753
Stetson,102.512,116.499,0.186812,102.512,116.499,102.512,116.499
Marshall,110.828,111.035,0.494641,110.828,111.035,110.828,111.035
Eastern Michigan,103.802,107.645,0.396996,103.802,107.645,103.802,107.645
Niagara,97.621,117.959,0.101894,97.621,117.959,97.621,117.959
Campbell,109.211,114.01,0.378815,109.211,114.01,109.211,114.01
Mercer,114.26,111.652,0.565984,114.26,111.652,114.26,111.652
Lindenwood,102.857,109.221,0.333954,102.857,109.221,102.857,109.221
St. Bonaventure,112.725,113.718,0.474802,112.725,113.718,112.725,113.718
Oregon St.,108.027,111.267,0.41584,108.027,111.267,108.027,111.267
Lipscomb,107.843,107.923,0.497856,107.843,107.923,107.843,107.923
Kennesaw St.,110.023,110.894,0.477346,110.023,110.894,110.023,110.894
James Madison,110.058,115.766,0.358585,110.058,115.766,110.058,115.766
Georgetown,113.486,106.355,0.678384,113.486,106.355,113.486,106.355
USC Upstate,99.6963,111.973,0.20826,99.6963,111.973,99.6963,111.973
Morgan St.,98.0057,122.748,0.0698641,98.0057,122.748,98.0057,122.748
New Hampshire,99.8721,110.177,0.244296,99.8721,110.177,99.8721,110.177
Iowa St.,124.503,95.6315,0.954086,124.503,95.6315,124.503,95.6315
Alcorn St.,98.0746,116.747,0.11876,98.0746,116.747,98.0746,116.747
Purdue,129.082,98.8067,0.955799,129.082,98.8067,129.082,98.8067
Drake,109.071,110.603,0.459977,109.071,110.603,109.071,110.603
Marquette,111.071,104.818,0.660689,111.071,104.818,111.071,104.818
Holy Cross,101.036,117.101,0.154866,101.036,117.101,101.036,117.101
Houston,126.469,93.4507,0.970099,126.469,93.4507,126.469,93.4507
Hampton,102.728,111.521,0.28,102.728,111.521,102.728,111.521
Western Michigan,108.539,117.549,0.285562,108.539,117.549,108.539,117.549
New Mexico St.,113.694,110.643,0.57759,113.694,110.643,113.694,110.643
Ball St.,101.615,112.295,0.240619,101.615,112.295,101.615,112.295
Milwaukee,106.554,113.701,0.32155,106.554,113.701,106.554,113.701
Portland,106.97,107.406,0.488313,106.97,107.406,106.97,107.406
Albany,103.926,115.219,0.233926,103.926,115.219,103.926,115.219
Tarleton St.,108.827,109.756,0.475575,108.827,109.756,108.827,109.756
San Francisco,113.102,105.526,0.689393,113.102,105.526,113.102,105.526
Bucknell,98.3281,113.298,0.163877,98.3281,113.298,98.3281,113.298
Connecticut,120.555,91.8863,0.957827,120.555,91.8863,120.555,91.8863
New Haven,95.6899,112.187,0.138347,95.6899,112.187,95.6899,112.187
Southern Indiana,94.9117,110.53,0.147809,94.9117,110.53,94.9117,110.53
Florida Gulf Coast,110.861,116.25,0.366826,110.861,116.25,110.861,116.25
